ID	module	cofactor_id	cofactor_type	ec	name	species	superkingdom
4iym.NAD_P_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4pxl.NAD_A_601	7	NAD	Nuc	-.-.-.-	cytosolicaldehydedehydrogenaserf2c	zeamays	Eukaryota
4pxl.NAD_B_601	7	NAD	Nuc	-.-.-.-	cytosolicaldehydedehydrogenaserf2c	zeamays	Eukaryota
4pz2.NAD_C_606	7	NAD	Nuc	-.-.-.-	zmaldh	zeamays	Eukaryota
4pz2.NAD_D_603	7	NAD	Nuc	-.-.-.-	zmaldh	zeamays	Eukaryota
4zz7.NAD_A_501	7	NAD	Nuc	-.-.-.-	methylmalonate-semialdehydedehydrogenase	oceanimonasdoudoroffii	Bacteria
4zz7.NAD_C_501	7	NAD	Nuc	-.-.-.-	methylmalonate-semialdehydedehydrogenase	oceanimonasdoudoroffii	Bacteria
4zz7.NAD_D_501	7	NAD	Nuc	-.-.-.-	methylmalonate-semialdehydedehydrogenase	oceanimonasdoudoroffii	Bacteria
4zz7.NAD_E_501	7	NAD	Nuc	-.-.-.-	methylmalonate-semialdehydedehydrogenase	oceanimonasdoudoroffii	Bacteria
4zz7.NAD_I_501	7	NAD	Nuc	-.-.-.-	methylmalonate-semialdehydedehydrogenase	oceanimonasdoudoroffii	Bacteria
4zz7.NAD_L_501	7	NAD	Nuc	-.-.-.-	methylmalonate-semialdehydedehydrogenase	oceanimonasdoudoroffii	Bacteria
5fhz.NAD_E_601	7	NAD	Nuc	1.2.1.5	aldehydedehydrogenasefamily1membera3	homosapiens	Eukaryota
5kf6.NAD_A_2002	7	NAD	Nuc	-.-.-.-	bifunctionalproteinputa	sinorhizobiummeliloti(strainsm11)	Bacteria
5kf6.NAD_B_2002	7	NAD	Nuc	-.-.-.-	bifunctionalproteinputa	sinorhizobiummeliloti(strainsm11)	Bacteria
5klo.NAD_A_603	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
5klo.NAD_B_603	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
5klo.NAD_C_603	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
5klo.NAD_D_603	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
6alj.NAD_A_601	7	NAD	Nuc	1.2.1.36	aldehydedehydrogenase1a2	homosapiens	Eukaryota
6alj.NAD_B_601	7	NAD	Nuc	1.2.1.36	aldehydedehydrogenase1a2	homosapiens	Eukaryota
6alj.NAD_C_601	7	NAD	Nuc	1.2.1.36	aldehydedehydrogenase1a2	homosapiens	Eukaryota
6alj.NAD_D_602	7	NAD	Nuc	1.2.1.36	aldehydedehydrogenase1a2	homosapiens	Eukaryota
2wox.NDP_A_1491	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
2wox.NDP_B_1491	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
2wox.NDP_C_1491	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
2wox.NDP_D_1491	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
3rhr.NDP_A_903	7	NDP	Nuc	-.-.-.-	"aldehydedehydrogenase1family,memberl1"	rattusnorvegicus	Eukaryota
3rhr.NDP_B_903	7	NDP	Nuc	-.-.-.-	"aldehydedehydrogenase1family,memberl1"	rattusnorvegicus	Eukaryota
3rhr.NDP_C_903	7	NDP	Nuc	-.-.-.-	"aldehydedehydrogenase1family,memberl1"	rattusnorvegicus	Eukaryota
3rhr.NDP_D_903	7	NDP	Nuc	-.-.-.-	"aldehydedehydrogenase1family,memberl1"	rattusnorvegicus	Eukaryota
4go0.NDP_A_1001	7	NDP	Nuc	1.5.1.6	cytosolic10-formyltetrahydrofolatedehydrogenase	rattusnorvegicus	Eukaryota
4go0.NDP_B_1001	7	NDP	Nuc	1.5.1.6	cytosolic10-formyltetrahydrofolatedehydrogenase	rattusnorvegicus	Eukaryota
4go0.NDP_C_1001	7	NDP	Nuc	1.5.1.6	cytosolic10-formyltetrahydrofolatedehydrogenase	rattusnorvegicus	Eukaryota
4go0.NDP_D_1001	7	NDP	Nuc	1.5.1.6	cytosolic10-formyltetrahydrofolatedehydrogenase	rattusnorvegicus	Eukaryota
4ita.NDP_A_501	7	NDP	Nuc	-.-.-.-	succinate-semialdehydedehydrogenase	synechococcussp.	Bacteria
4ita.NDP_B_501	7	NDP	Nuc	-.-.-.-	succinate-semialdehydedehydrogenase	synechococcussp.	Bacteria
5kf0.NDP_A_501	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiavietnamiensis(straing4/lmg22486)	Bacteria
5kf0.NDP_B_501	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiavietnamiensis(straing4/lmg22486)	Bacteria
5kf0.NDP_C_501	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiavietnamiensis(straing4/lmg22486)	Bacteria
5kf0.NDP_D_503	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiavietnamiensis(straing4/lmg22486)	Bacteria
3zqa.NDP_A_1500	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
3zqa.NDP_B_1498	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
3zqa.NDP_C_1495	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
3zqa.NDP_D_1496	7	NDP	Nuc	1.2.1.8	betainealdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
5gtl.NDP_A_503	7	NDP	Nuc	-.-.-.-	betaine-aldehydedehydrogenase	bacilluscereus	Bacteria
5gtl.NDP_B_503	7	NDP	Nuc	-.-.-.-	betaine-aldehydedehydrogenase	bacilluscereus	Bacteria
5gtl.NDP_C_503	7	NDP	Nuc	-.-.-.-	betaine-aldehydedehydrogenase	bacilluscereus	Bacteria
5gtl.NDP_D_502	7	NDP	Nuc	-.-.-.-	betaine-aldehydedehydrogenase	bacilluscereus	Bacteria
5jfm.1VU_A_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.1VU_C_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.1VU_D_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.1VU_E_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.1VU_F_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.1VU_G_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.1VU_H_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfm.COA_B_601	7	COA	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
1a4z.NAD_A_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase	bostaurus	Eukaryota
1a4z.NAD_B_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase	bostaurus	Eukaryota
1a4z.NAD_C_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase	bostaurus	Eukaryota
1a4z.NAD_D_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase	bostaurus	Eukaryota
1bpw.NAD_A_504	7	NAD	Nuc	1.2.1.8	protein(aldehydedehydrogenase)	gaduscallarias	Eukaryota
1bpw.NAD_B_504	7	NAD	Nuc	1.2.1.8	protein(aldehydedehydrogenase)	gaduscallarias	Eukaryota
1bpw.NAD_C_504	7	NAD	Nuc	1.2.1.8	protein(aldehydedehydrogenase)	gaduscallarias	Eukaryota
1bpw.NAD_D_504	7	NAD	Nuc	1.2.1.8	protein(aldehydedehydrogenase)	gaduscallarias	Eukaryota
1cw3.NAD_B_2502	7	NAD	Nuc	1.2.1.3	mitochondrialaldehydedehydrogenase	homosapiens	Eukaryota
1cw3.NAD_C_3502	7	NAD	Nuc	1.2.1.3	mitochondrialaldehydedehydrogenase	homosapiens	Eukaryota
1cw3.NAD_G_7502	7	NAD	Nuc	1.2.1.3	mitochondrialaldehydedehydrogenase	homosapiens	Eukaryota
2bhp.NAD_A_1517	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2bhp.NAD_B_1517	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2ehu.NAD_A_1518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2ehu.NAD_B_2518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2eii.NAD_A_1518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2eii.NAD_B_2518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2eit.NAD_A_1518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2eit.NAD_B_2518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2j40.NAD_A_1518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2j40.NAD_B_1519	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2j5n.NAD_A_1518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2j5n.NAD_B_1518	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
3efv.NAD_A_463	7	NAD	Nuc	1.2.1.-	putativesuccinate-semialdehydedehydrogenase	salmonellatyphimurium	Bacteria
3efv.NAD_B_463	7	NAD	Nuc	1.2.1.-	putativesuccinate-semialdehydedehydrogenase	salmonellatyphimurium	Bacteria
3efv.NAD_C_463	7	NAD	Nuc	1.2.1.-	putativesuccinate-semialdehydedehydrogenase	salmonellatyphimurium	Bacteria
3efv.NAD_D_463	7	NAD	Nuc	1.2.1.-	putativesuccinate-semialdehydedehydrogenase	salmonellatyphimurium	Bacteria
3v9l.NAD_A_1518	7	NAD	Nuc	1.5.1.12	"delta-1-pyrroline-5-carboxylatedehydrogenase,mitochondrial"	musmusculus	Eukaryota
3v9l.NAD_B_1517	7	NAD	Nuc	1.5.1.12	"delta-1-pyrroline-5-carboxylatedehydrogenase,mitochondrial"	musmusculus	Eukaryota
4a0m.NAD_A_1498	7	NAD	Nuc	1.2.1.8	"betainealdehydedehydrogenase,chloroplastic"	spinaciaoleracea	Eukaryota
4a0m.NAD_B_1498	7	NAD	Nuc	1.2.1.8	"betainealdehydedehydrogenase,chloroplastic"	spinaciaoleracea	Eukaryota
4a0m.NAD_C_1498	7	NAD	Nuc	1.2.1.8	"betainealdehydedehydrogenase,chloroplastic"	spinaciaoleracea	Eukaryota
4a0m.NAD_D_1498	7	NAD	Nuc	1.2.1.8	"betainealdehydedehydrogenase,chloroplastic"	spinaciaoleracea	Eukaryota
4go4.NAD_A_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_B_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_C_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_D_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_E_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_F_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_G_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4go4.NAD_H_601	7	NAD	Nuc	1.2.1.3	putativegamma-hydroxymuconicsemialdehydedehydrogenase	pseudomonas	Bacteria
4i1w.NAD_A_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i1w.NAD_B_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i1w.NAD_C_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i1w.NAD_D_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i25.NAD_A_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i25.NAD_B_603	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i25.NAD_C_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i25.NAD_D_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i2r.NAD_A_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i2r.NAD_B_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i2r.NAD_C_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i2r.NAD_D_601	7	NAD	Nuc	-.-.-.-	2-aminomuconate6-semialdehydedehydrogenase	pseudomonasfluorescens	Bacteria
4i3x.NAD_A_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_B_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_C_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_D_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_E_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_F_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_G_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i3x.NAD_H_501	7	NAD	Nuc	1.2.1.3	aldehydedehydrogenase(nad+)	sinorhizobiummeliloti	Bacteria
4i8q.NAD_A_601	7	NAD	Nuc	-.-.-.-	putativebetainealdehydedehyrogenase	solanumlycopersicum	Eukaryota
4ihi.NAD_A_601	7	NAD	Nuc	1.5.1.12	delta-1-pyrroline-5-carboxylatedehydrogenase	mycobacteriumtuberculosis	Bacteria
4l2o.NAD_A_505	7	NAD	Nuc	1.2.1.5	aldehydedehydrogenase	homosapiens	Eukaryota
4l2o.NAD_B_503	7	NAD	Nuc	1.2.1.5	aldehydedehydrogenase	homosapiens	Eukaryota
